1pm,OPM.L
ETFS Short Industrial Metals DJ-AIGCI,SIME.L
ETFS Short Natural Gas,SNGA.L
ETFS Short Nickel,SNIK.L
ETFS Short Petroleum DJ-AIGCI,SPET.L
ETFS Short Wheat,SWEA.L
ETFS SILVER,SLVR.L
ETFS SOFT,AIGS.L
ETFS SOYBEANS,SOYB.L
ETFS SOYBN.OIL,SOYO.L
ETFS SUGAR,SUGA.L
ETFS WHEAT,WEAT.L
ETFS ZINC,ZINC.L
EURASIA MINING PLC ORD 5P,EUA.L
Eurasian Natural Resources Corp,ENRC.L
Euro. Assets,EAT.L
Euromoney Publications plc,ERM.L
Europa Oil & Gas,EOG.L
European Convergence Dev. Co,ECDC.L
EUROPEAN NICKEL GB,ENK.L
EUROVESTECH,EVT.L
EVOLUTION GROUP PLC ORD 1P,EVG.L
EXC PLC GB,EXC.L
eXpansys,XPS.L
Experian Group,EXPN.L
F & C Smlr.,FCS.L
F&C Asset Mngt,FCAM.L
F&C Cap & Inc It,FCI.L
F&C PRIVAT EQ B,FPEB.L
F&C UK Select Trust,FUS.L
F&C US SMALL CO,FSC.L
Fairpoint Grp,FRPG.L
Falkland Islands Hldgs,FKL.L
Faroe Petro,FPM.L
FDM Group,FDMG.L
Feedback,FDBK.L
Fenner plc,FENR.L
Ferrexpo,FXPO.L
FFASTFILL PLC ORD 1P,FFA.L
Fiberweb,FWEB.L
Fid. Euro. Val.,FEV.L
Fid. Jap. Val.,FJV.L
Fid. Sp. Val.,FSV.L
Fidelity Asian,FAS.L
Fidessa Group,FDSA.L
Filtrona,FLTR.L
Filtronic Comtek plc,FTC.L
Findel Plc,FDL.L
Finders Resources,FND.L
Finsbury Food Group,FIF.L
Finsbury Growth,FGT.L
Finsbury Wwide,FWP.L
Firestone Diamonds Plc Ord 20p,FDI.L
FIRST ARTIST CORPORATION PLC,FAN.L
FIRST PROPERTY ONLINE PLC 1P,FPO.L
FIRST QUANTUM MINERALS LD COM,FQM.L
Firstgroup,FGP.L
Fisher (James) & Sons plc,FSJ.L
FISKE,FKE.L
FISRT DERIVATIVE,FDP.L
FITBUG HLD,FITB.L
Fletcher King,FLK.L
Flying Brands Ltd Shares,FBDU.L
Focus Solutions Group,FSG.L
For. & Col. Euro.,FCU.L
FORBIDDEN TECH ORD 0.8P,FBT.L
Foreign Colonial Investment Trust,FRCL.L
Foresight 2 VCT,FTN.L
Foresight 3 VCT,FTD.L
Foresight 4 VCT,FTF.L
Foresight Technology VCT,FTV.L
Formation Group,FRM.L
FORMJET GB,FMJ.L
Formula Telecom Solutions,FTS.L
Forth Ports plc,FPT.L
Fortune Oil plc,FTO.L
Forum Energy,FEP.L
Framlington Aim VCT 2,FAMT.L
FRAMLINGTON INNOVATIVE GROWTH,FIT.L
French Connection Group plc,FCCN.L
FRENKEL TOPP GB,FEN.L
Fresnillo,FRES.L
FRONTERA RES WI,FRR.L
Frontline,FRO.L
FTSE 250 Mid Cap Index,FTMC.L
FTSE 350 Large Cap Index,FTLC.L
FTSE AIM Index,FTAI.L
FTSE EPRA NAREIT Asia USD version,UGAS.L
FTSE EPRA NAREIT Europe Non-REITs,ENEE.L
FTSE Eurotop 300 Index,FTOP.L
FTSE Small Cap Index,FTSC.L
FULCRUM PHARMA,FUL.L
"Fuller, Smith & Turner plc",FSTA.L
FUSION IP,FIP.L
FUTURA MEDICAL,FUM.L
Futuragene,FGN.L
Future Network plc ord 1p,FUTR.L
Fyffes,FFY.L
Galantas Gold Corporation,GAL.L
Galiform,GFRM.L
GALLEON HLDGS,GON.L
GALLIFORD TRY,GFRD.L
Game Group,GMG.L
Games Workshop Group plc,GAW.L
Garner,GAR.L
Gart Fledg Idx ord 25p,GMF.L
Gartmore European Investment Trust,GEO.L
Gartmore Global Trust,GGL.L
Gartmore Growth Opportunities,GGOR.L
GARTMORE IRISH SMALL PLC O 25P,GIR.L
GAS TURBINE EFF,GTE.L
Gasol,GAS.L
Gasol,GASL.L
GB GROUP,GBG.L
Gbl ENERGY,GED.L
Gem Biofuels,GBF.L
Gem Diamonds,GEMD.L
Gemfields Resources,GEM.L
Genesis E.M.F.,GSS.L
GENETIX GROUP,GTX.L
GENUS,GNS.L
Geong International,GNG.L
Geopark Holdings,GPK.L
GETECH GROUP,GTC.L
Getmobile Europe,GETM.L
GKN,GKN.L
Gladstone Plc Ord 0.01p,GLD.L
Glanbia,GLB.L
Glaxo Smithkline plc,GSK.L
Gleeson (M.J.) Group plc,GLE.L
GLISTEN,GLI.L
GLOBAL BRANDS SA,GBR.L
Global Coal Mgmt,GCM.L
GlobeOp Financial Services S.A.,GO.L
Globus Maritime,GLBS.L
GMA RESOURCES,GMA.L
Go-Ahead Group plc,GOG.L
Goals Soccer Centres,GOAL.L
GoIndustry,GOI.L
Gold Bullion Securities,GBS.L
Gold Oil,GOO.L
Goldenport Holdings,GPRT.L
Goldman Sachs Dynamic Opp,GSDO.L
Goldstone Res,GRL.L
GOOCH & HOUSEGO,GHH.L
GOODWIN,GDWN.L
Gottex Market Neutral Trust,GMNT.L
GR Holdings,GRH.L
GRAFTON GRP UT 1C OR 0.00025P,GRFU.L
Grainger Trust plc,GRI.L
GRAPHITE ENTERPRISE TRT PLC,GPE.L
Great Portland Estates plc,GPOR.L
Greatland Gold,GGP.L
GREEN CO2,GCO.L
Green Dragon Gas,GDG.L
Greencore Group,GNC.L
Greene King plc,GNK.L
Greenko Group,GKO.L
GREENWICH LOAN,GLIF.L
Greggs plc,GRG.L
Gresham Computing plc,GHT.L
GRESHAM HOUSE,GHE.L
Griffin Mining,GFM.L
Grp 4 Securicor,GFS.L
GTL RESOURCES,GTL.L
Guinness Peat Group plc,GPG.L
GW PHARMA PLC ORD 0.1P,GWP.L
H&T Group,HAT.L
Haike Chemical Group,HAIK.L
HALFORDS GROUP GB,HFD.L
HALIFAX,HAL+.L
HALLIN MARINE,HMS.L
Halma plc,HLMA.L
HAMBLEDON MINING GB,HMB.L
Hammerson Property plc,HMSO.L
HAMPDEN,HUW.L
Hampson Industries plc,HAMP.L
HAMWORTHY GB,HMY.L
Hansa Trust,HAN.L
Hansa Trust A,HANA.L
Hardide,HDD.L
HARDY OIL & GAS,HDY.L
HARDY UNDERWRITING GRP ORD 20P,HDU.L
HARGREAVE VCT 1,HHV.L
Hargreaves Ls,HL.L
HARGREAVES SERV,HSP.L
Hartest Holdings,HTH.L
HARVARD INTER,HAR.L
HARVEY NASH GRP,HVN.L
Havelock Europe ord 10p,HVE.L
Hawtin plc,HTI.L
Hay (Norman),HNN.L
Haynes Publishing Group plc,HYNS.L
Hays plc,HAS.L
Headlam Group plc,HEAD.L
Healthcare Ent,HCEG.L
HEALTHCARE LOC,HLO.L
Heath Samuel and Sons,HSM.L
HEAVITREE BREW,HVT.L
Helesi,HLS.L
Helical Bar plc,HLCL.L
Helius Energy,HEGY.L
Helphire Group,HHR.L
Hend. El. & Gen. I.T.,ENG.L
Hend. High Inc.,HHI.L
Henderson Diversified Income,HDIV.L
Henderson Euro.,HNE.L
Henderson Far East Income,HFEL.L
HENDERSON FIN,HFO.L
HENDERSON GRP,HGGH.L
HENDERSON MORLEY PLC 0.125P,HML.L
Henderson Smaller Cos,HSL.L
Henderson Strat,HOT.L
Henderson Tr Pac,HPI.L
Herald Inv.,HRI.L
HERENCIA RES,HER.L
Heritage Oil,HOIL.L
Hexagon Human Capital,HHC.L
HG Capital Trust,HGT.L
HIGHAM SYS SERV,HSS.L
Highcroft Inv.,HCFT.L
HIGHLAND GOLD MINING LD ORD,HGM.L
Hightex Group,HTIG.L
Highway Capital,HWC.L
HIKMA PHARMA WI,HIK.L
Hill & Smith Holdings plc,HILS.L
Hilton Food Group,HFG.L
Hirco (WI),HRCO.L
Hiscox,HSX.L
HML Holdings,HMLH.L
HMV GROUP PLC ORD 1P (WI),HMV.L
Hochschild Mining,HOC.L
Hogg Robinson Group,HRG.L
Holders Tech.,HDT.L
Holidaybreak Plc,HBR.L
Home Retail Group,HOME.L
Homeserve,HSV.L
Horizonte Minerals,HZM.L
Hornby Group plc,HRN.L
HOT TUNA INTL,HTT.L
HOTEL CORPORATION,HCP.L
HR Owens Plc,HRO.L
HSBC Holdings 75p plc,HSBA.L
HSBC Infrastructure Company,HICL.L
Hunting plc,HTG.L
Huntsworth Plc,HNT.L
Hutchison China Meditech,HCM.L
HUVEAUX ORD 10P,HVX.L
Hyder Consulting,HYC.L
Hydro Energy Service Inc,HYD.L
Hydrodec Group,HYR.L
Hydrogen Group,HYDG.L
Hygea VCT,HYG.L
I M I plc,IMI.L
I S Solutions,ISL.L
i-design Group,IDG.L
I-DOCUMENTSYSTEMS GRP PLC 1P,IDOX.L
ICAP PLC ORD 50P,IAP.L
ICB Financial Group Holdings AG,ICB.L
Idatech,IDA.L
IDEAL SHOPPING,IDS.L
IFG Group,IFP.L
IFR Capital,IFR.L
IG GRP HLDGS,IGG.L
IGAS ENERGY,IGAS.L
IIMIA INVESTMENT GB,IIM.L
IMAGE SCAN HLDGS,IGE.L
Imagelinx,ILI.L
Imaginatik,IMTK.L
Imagination Tech,IMG.L
IMJACK,IMJ.L
IMMEDIA GRP,IME.L
IMMUNO SYS HLDG GB,IDH.L
Immupharma,IMM.L
IMPACT HOLDINGS,IHUK.L
IMPAX ASST MNG,IPX.L
IMPAX ENMTL MKTS,IEM.L
Impellam Group,IPEL.L
Imperial Tobacco Group,IMT.L
IN HOUSE GROUP,IHGP.L
INCAGOLD,IGD.L
Inchcape plc,INCH.L
INDEPENDENT INV TST PLC ORD 25,IIT.L
INDEPENDENT MEDIA DIST ORD 10P,IMD.L
Independent News,INME.L
Independent Resources,IRG.L
India Capital Growth Fund,IGC.L
INDIA HOSPITALTY,IHC.L
INDIA REST GRP,IRGP.L
INDIA STAR,INDY.L
Indian Film Company,IFC.L
INDIGOVISION GP,IND.L
INDITHERM,IDM.L
INDIVIDUAL RESTAURANT,IRC.L
Indochina Capital Vietnam Hldgs,ICV.L
INFORMA,INF.L
Infoscreen Networks,INFO.L
Infrastructure India,IIP.L
ING Global Real Estate Secs,IGRE.L
ING UK Real Estate Income Trust,IRET.L
Ingenious Media Active Capital,IMAC.L
Inland,INL.L
Inmarsat,ISAT.L
INNOVATION GRP PLC ORD 2P,TIG.L
INNOVISION RESEARCH & TECH 1P,INN.L
INSIGHT FOUNDAT GB,IFD.L
INT BRAND LICENS,IBL.L
INTANDEM FILMS,IFM.L
Intec Tele System,ITL.L
INTEGRATED ASSET MANAGEMENT,IAM.L
Intelek,ITK.L
INTELLEGO HLDGS GB,IHP.L
INTELLEXIS,ILX.L
INTELLIGENT ENVIROMENTS GROUP,IEN.L
INTERACTIVE PROSP GB,IPH.L
INTERBULK INV GB,INB.L
INTERCEDE GRP PLC ORD 25P,IGP.L
Interior Svcs Group Plc Ord 1p,ISG.L
Intermediate Capital Group plc,ICP.L
International Ferro Metals,IFL.L
International Personal Finance,IPF.L
International Power,IPR.L
International Public Partnership,INPP.L
INTERQUEST GRP,ITQ.L
Interserve,IRV.L
INTERTEK TESTING SVC ORD 1P,ITRK.L
Intl Biotech TST 'C',IBT.L
INTL GREETINGS,IGR.L
INTRCONT HOTELS,IHG.L
Inv Perpuk Smlr,IPU.L
Invensys plc ord 25p,ISYS.L
Invesco Asia,IAT.L
Invesco Eng. & Int.,IEI.L
Invesco Inc Growth,IVI.L
Invesco Leveraged Hi Yld Fd 1p,ILH.L
Invesco Perpetual AIM VCT,IPA.L
Invesco Perpetual Trust 2011,IPRT.L
INVESTEC,INVP.L
INVESTEC CAP ACC,ICA.L
Investment Company,INV.L
Invista European Real Est.Tst Sicaf,IERE.L
Invista Real Est.Inv Mngt Hldgs,INRE.L
Invocas Group,INVO.L
INVU,INVU.L
IOMART GRP PLC ORD 1P,IOM.L
IP2IPO Group,IPO.L
Ipoint-media,IPNT.L
IPPLUS,IPP.L
IPSA Group,IPSA.L
Ipso Ventures,IPS.L
IQ Holdings,IQH.L
IQE PLC ORD 10P,IQE.L
Irish Permanent,IPM.L
IRP PROPERTY,IRP.L
IS Pharma,ISPHI.L
Ishare Investop IE,LQDE.L
Ishares,IDAP.L
Ishares,IDBT.L
Ishares,IDFF.L
Ishares,IDFX.L
Ishares,IDUS.L
Ishares $ FTSE Bric 50,DBRC.L
iShares AEX,IAEX.L
iSHARES DJ EURO STOXX 50,EUE.L
iSHARES DJ STOXX 50,EUN.L
Ishares Euro Government Bond 15-30,IBGL.L
Ishares Euro Government Bond 3-5,IBGX.L
Ishares Euro Government Bond 7-10,IBGM.L
Ishares FTSE Bric 50,BRIC.L
Ishares FTSE Epra Nareit Asia,IASP.L
Ishares FTSE Epra Nareit Glb Prop,IWDP.L
Ishares Ftse Epra Nareit US Prop,IUSP.L
Ishares FTSE Macquarie Glbl Inf 100,INFR.L
Ishares FTSE UK All Stks GILT,IGLT.L
ISHARES FTSE250 IE,MIDD.L
ISHARES IBOXX IE,SLXX.L
iShares II PLC,ISDE.L
iShares II PLC,ISDU.L
iShares II PLC,ISDW.L
iShares II PLC,ISEM.L
iShares II PLC,ISUS.L
Ishares JPMorgan USD Emerging Mkts Bond,IEMB.L
Ishares JPMorgan USD Emerging Mkts Bondú,SEMB.L
Ishares Msci Turkey,ITKY.L
ISHARES PLC,IEUR.L
ISHARES PLC IFTSE 100,ISF.L
Ishares Pound IDX Lkd GILT,INXG.L
Ishares S&P Emerging Mkts Infrastructure,IEMI.L
Ishares S&P Emerging Mkts Infrstructure$,DEIN.L
Ishares US Treasury Bond 7-10,IBTM.L
Ishares USD Tips,IDTP.L
Ishares USD Tips,ITPS.L
ISHS FTSE/XINHUA,FXC.L
ISIS PROP TST,IPT.L
ISLAMIC BANK GB,IBB.L
ISLAND OIL & GAS IE,IOG.L
Itacare Capital Investments,ITA.L
ITE Group Plc Ord,ITE.L
Ithaca Energy,IAE.L
ITM POWER GB,ITM.L
ITV PLC,ITV.L
IVESCO UK PROP GB,IPI.L
J LEWIS OF HUNG,JLH.L
Jacques Vert plc,JQV.L
James Halstead plc,JHD.L
Japan Leisure Hotels,JPLH.L
Japan Residential Inv. Co.,JRIC.L
Japnse Accel Fund,JAP.L
Jardine Lloyd Thompson,JLT.L
Jarvis plc,JRVS.L
JARVIS SECURITIES GB,JIM.L
Jelf Group,JLF.L
Jersey Electricity,JEL.L
JESSOPS,JSP.L
JETION SOLR HLDS,JHL.L
JJB Sports,JJB.L
JKX Oil & Gas plc,JKX.L
JOHN SWAN,SWJ.L
Johnson Mathey plc,JMAT.L
Johnson Services plc,JSG.L
Johnston Press plc,JPR.L
JOURNEY GRP,JNYJ.L
JP Morgan Amer Invest,JAM.L
JP Morgan Euro Growth In Trust,JETG.L
JP Morgan Fleming Chinese Inv Tst,JMC.L
JP MORGAN FLEMING EMERGE MKTS,JMG.L
JP Morgan Fleming Inc and Cap IT,JPI.L
JP MORGAN FLEMING SMALLER COS,JMI.L
JPM FLEM JAP SM,JPS.L
JPM Fleming Corp,JMF.L
JPM Fleming Euro I.T.,JFF.L
JPM Fleming Overseas Investors,JMO.L
JPMF Elect Growth,JPE.L
JPMF Japan Investors,JFJ.L
JPMorgan Asian Investment Trust,JAI.L
JPMorgan Fleming Claverhouse IT,JCH.L
JPMORGAN FLEMING INDIAN IT PLC,JII.L
JPMorgan Fleming Russian Secs PLC Ord 1p,JRS.L
JPMorgan Fleming US Disc IT,JPU.L
JSM Indochina,JSM.L
JUBILEE PLATINUM,JLP.L
JUPITER EURO OPPS TR PLC ORD1P,JEO.L
Jupiter Green Investment Trust,JGC.L
Jupiter Primdna,JPG.L
JUPITER SEC ST,JSS.L
Juridica Investments,JIL.L
Just Car Clinics,JCR.L
K3 Bus Tech Grp,KBT.L
Kalahari Minerals,KAH.L
Kalimantan Gold Corp,KLG.L
KARELIAN DIAM,KDR.L
KAZAKHMYS WI,KAZ.L
KBC Adv Tech PLC,KBC.L
Kefi Minerals,KEFI.L
Kellan Group,KLN.L
Keller Group plc,KLR.L
Kenetics Group,KEN.L
Kenmare Res.,KMR.L
Kenmore European Industrial Fund,KEIF.L
Kentz Corporation,KENZ.L
Kerry Group 'A',KYGA.L
KESA ELECTRICALS,KESA.L
Kewill Systems plc,KWL.L
Keydata Income VCT 1,KIV.L
Keystone Investment Trust,KIT.L
Kier Group,KIE.L
Kingfisher plc,KGF.L
Kingspan Group,KGP.L
KINGSTON COMMUN (HULL) PLC 10P,KCOM.L
KINGSWALK INV,KWI.L
KIOTECH INTL,KIO.L
Kiwara,KIW.L
Kleenair Systems International,KSI.L
Kofax,KFX.L
Kopan Diamond,KDD.L
KRYSO RESOURCES GB,KYS.L
KSK Power Ventur,KSK.L
Ladbrokes,LAD.L
Lagan Capital,LGN.L
Laird,LRD.L
Lamprell,LAM.L
Lancashire Holdings,LRE.L
Land Securities plc,LAND.L
Landkom International,LKI.L
LANDORE RES,LND.L
Lansdowne Oil & Gas,LOGP.L
Latchways Plc,LTC.L
LATHAM JAMES,LTHM.L
Lavendon Group Np,LVD.L
Law. Deb. Corp.,LWDB.L
LED International Holdings,LED.L
Leed Petroleum,LDP.L
Leeds Building Society,LBS+.L
Leeds Group plc,LDSG.L
LEES FOODS,LEE.L
Legal & General Group plc,LGEN.L
LEGION GROUP,LGNG.L
Leisure & Gaming,LNG.L
Leni Gas & Oil,LGO.L
LEYSHON RESORCE,LRL.L
Liberty,LBE.L
Liberty Intl.,LII.L
LIDCO GRP PLC ORD 0.5P,LID.L
LIGHTHOUSE GROUP PLC ORD 1P,LGT.L
Lincat Group plc,LCT.L
Lindsell Train Investment Trust,LTI.L
Liontrust Asset Management plc ord 1p,LIO.L
Lipoxen,LPX.L
Litcomp,LIN.L
Litho Supplies,LTS.L
Livermore  Inc Grp,LIV.L
Lloyds Bank plc,LLOY.L
LO-Q,LOQ.L
Local Shopping REIT (WI),LSR.L
Logica plc,LOG.L
LOK'N STORE GRP PLC ORD 1P,LOK.L
Lombard Medical Technologies,LMT.L
Lombard Risk Management,LRM.L
Lon. & Ass. Props.,LAS.L
Lon. & St. Law. I.T.,LSLI.L
Lon. Fin & Inv. Group,LFI.L
London & Stamford Property,LSP.L
LONDON CAP GRP,LCG.L
London Security,LSC.L
LONDON STK EXCH PLC ORD 5P,LSE.L
LONDON TOWN,LTW.L
Lonmin Plc Ord,LMI.L
Lonrho Africa,LONR.L
Lonzim,LZM.L
Lookers plc,LOOK.L
Low & Bonar plc,LWB.L
Low Carbon Accelerator,LCA.L
Lowland Inv.,LWI.L
LP HILL,LPHL.L
LPA Group,LPA.L
LSL Property Services (WI),LSL.L
Ludgate Environmental Fd,LEF.L
Ludorum,LUD.L
Luminar PLC,LMR.L
Lupus Capital,LUP.L
LXB Retail Properties PLC,LXB.L
Lyxor ETF FTSE 100,L100.L
Lyxor ETF FTSE 250,L250.L
Lyxor ETF FTSE Rafi Europe,LRES.L
Lyxor ETF FTSE Rafi Europe,LREU.L
Lyxor ETF FTSE Rafi Eurozone,LRZU.L
Lyxor ETF FTSE Rafi Eurozone,LRZZ.L
Lyxor ETF FTSE Rafi Japan,LRJU.L
Lyxor ETF FTSE Rafi US 1000,LRAM.L
Lyxor ETF FTSE Rafi US 1000,LRAU.L
Lyxor ETF Kuwait FTSE Coast Kuwait 40 ú,LKUW.L
Lyxor ETF MSCI Em Latin America,LLAT.L
Lyxor ETF MSCI Em Latin America,LLAU.L
Lyxor ETF MSCI Emerging Markets,LEME.L
M & G Equity IT Inc.,MEQI.L
M & G High Income IT Cap.,MGHC.L
M & G High Income IT Inc.,MGHI.L
M and G Equity Investment Tst,MEQ.L
M&C Saatchi,SAA.L
M.C. Pacific,MCP.L
Macau Property Opp. Fund,MPO.L
Macfarlane Group plc,MACF.L
Maghreb Minerals,MMS.L
MAINTEL HOLDINGS GB,MAI.L
Majedie Inv.,MAJE.L
MAJESTIC WINE PLC ORD 30P,MJW.L
Mallett plc,MAE.L
Mama Group,MAMA.L
Man (E D & F) Group plc,EMG.L
Managed Support,MSPS.L
Management Consulting,MMC.L
Manchester & Lon,MNL.L
Manganese Bronze Holdings plc,MNGS.L
MANX FINANCIAL,MFX.L
Mariana Resources,MARL.L
Marks & Spencer plc,MKS.L
Marshalls plc,MSLH.L
MARSTONS,MARS.L
Martin Currie Portfolio IT plc,MNP.L
Matchtech Group,MTEC.L
Matica,MAT.L
Matra Petrol,MTA.L
Matrix European Real Estate IT,MERE.L
MATRIX INC & GRW GB,MIX.L
Matrix Inc & Gwrth 4 VCT,MIG4.L
Matrix Income & Growth 2 VCT,MIG.L
Matrix Income & Growth VCT 3,MIXT.L
Mattioli Woods,MTW.L
MAVEN I&G,MIG1.L
MAVEN INC & GROWTH,MAV4.L
MAVEN INC & GWT 2,MIG2.L
MAVEN INC & GWT 3,MIG3.L
Mavinwood,MVW.L
MAXIMA GB,MXM.L
Maylebone Warwick,MWB.L
Maypole Group,MPG.L
McBride plc,MCB.L
MCINERNEY HLDGS,MCI.L
McKay Securities plc,MCKS.L
MDY Healthcare,MDY.L
MEARS GROUP,MER.L
MECOM GROUP,MEC.L
Medavinci,MVC.L
Media Corp,MDC.L
MEDIA SQUARE,MSQ.L
MEDIAZEST,MDZ.L
Medicx Fund,MXF.L
MEDIT OIL & GAS,MOG.L
MEDIWATCH,MDW.L
Meggitt plc,MGGT.L
Melchior Japan Investment Trust,MJT.L
Melorio,MLO.L
MELROSE PLC,MRO.L
MELROSE RESOURCES ORDINARY SHA,MRS.L
Menzies (John) plc,MNZS.L
MERCHANT HSE GRP,MHG.L
Merchant Sec,MERC.L
Merchants Trust,MRCH.L
MERCURY RECYCLING GRP PLC 10P,MRG.L
Messaging International,MES.L
METAL-TECH,MTT.L
Metalrax Group plc,MRX.L
METALS EXPLORA GB,MTL.L
Metro Baltic Horizons,MET.L
METRODOME GROUP,MRM.L
MICHAEL PAGE INTL PLC ORD 1P,MPI.L
MICHELBERSH BRICK GB,MBH.L
Micro Focus International,MCRO.L
Microgen Holdings plc,MCGN.L
Mid Wynd Int.,MWY.L
Mid-States plc,MST.L
Midas Inc & Growth,MIGT.L
Middlefield Canadian Inc Tst Inv,MCT+.L
Milestone Group,MSG.L
Millennium & Cop,MLC.L
MINCO PLC ORD IEP 0.01,MIO.L
Minera IRL,MIRL.L
Minerva Plc,MNR.L
Minoan Group,MIN.L
MINORPLANET SYS,MPS.L
Minster Pharm,MPM.L
Mirada,MIRA.L
Mission Capital,MCAP.L
Misys plc,MSY.L
MITCHELLS & BUT,MAB.L
Mithras Inv. Trust,MTH.L
Mitie Group plc,MTO.L
Mobile Credit Baltic,MCRB.L
Mobile Doctors Group,MDG.L
Mobile Streams,MOS.L
Mobile Tornado Group,MBT.L
Modern Water,MWG.L
Molins plc,MLIN.L
Mondi Plc,MNDI.L
Moneysupermarket.com Plc,MONY.L
Monks I.T.,MNKS.L
Montanaro European Smaller Co,MTE.L
Montanaro UK,MTU.L
MORANT WRI JPN,MWJ.L
Morgan Crucible Co plc,MGCR.L
Morgan Sindall plc,MGNS.L
Morrison (Wm) Supermarkets plc,MRW.L
Morse Holdings plc ord 10p,MOR.L
Morson Group,MRN.L
Moss Brothers Group plc,MOSB.L
Mothercare,MTC.L
Motivcom,MCM.L
MOTIVE TV,MTV.L
MOUCHEL PLC ORD 0.25P,MCHL.L
Mount Engineering,MOU.L
MOUNTVIEW ESTS,MTVW.L
MP Evans Grp,MPE.L
MS INTERNATIONAL ORDINARY SHS,MSI.L
MTI Wireless Edge,MWE.L
Mucklow (A.J.) Group plc,MKLW.L
MULBERRY GROUP,MUL.L
MURGITROYD GROUP,MUR.L
Murray Intl,MUT.L
Murray Investment Trust,MYI.L
Mwana Gold,MWA.L
MWB BUSIN EXCH,MBE.L
Namakwa Diamonds,NAD.L
Namibian Res,NBR.L
NANOCO GRP,NANO.L
