CSI#,MONTH CODE,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,,,START DATE,,,,,FOOTNOTE,
648,54,SS2,SGX,Nikkei 225 Index(Floor Trading Only) (SIMEX),500 JPY,500 JPY x Index,points,JPY,,,19840104,,,,,,,
655,54,KSQ,KSE,KOSDAQ 50 Index,1000 KRW,100000 KRW x Index,points,KRW,,,20010215,,,,,,,
659,54,ATF,ADEX,Index-FTSE/ASE 20,0.05 EUR,5 EUR x Index,points,EUR,,,20010406,,,,,,,
660,54,AT4,ADEX,Index-FTSE/ASE Midcap 40,0.05 EUR,5 EUR x Index,points,EUR,,,20010406,,,,,,,
662,54,ELB,ICE,Electricity Base (IPE),0.01 GBP x contract size in MWh,0.01 GBP / MWh x 24 x days,0.01 GBP,GBP,,,20020306,,,,,,,
666,54,TU3,CBT,T-Note-U.S.  2 Yr(Floor Trading Only),6.25 USD,200000 USD,points,USD,,,19950810,,,,,,,
684,54,EMD,CME,Index-S&P Midcap 400 E-mini,1 USD,100 USD x Index,points,USD,,,20020128,,,,,,,
688,54,GI2,CME,Goldman Sachs Commodity(Floor Trading Only),2.50 USD,250 USD x Index,points,USD,,,19691231,,,,,,,
692,54,NCI,MGE,National Corn Index,6.25 USD,5000 bu,USD / bu,USD,,,20020226,,,,,,,
693,54,NSI,MGE,Soybean Index-National,6.25 USD,5000 bu,USD / bu,USD,,,20020226,,,,,,,
694,54,LC2,CME,Cattle-LiveCME(Floor Trading Only),4 USD,40000 lb,0.01 USD / lb,USD,,,19660209,,,,,,,
695,54,LH2,CME,Hogs-Lean(Floor Trading Only),4 USD,40000 lb,0.01 USD / lb,USD,,,19660301,,,,,,,
696,54,FC2,CME,Cattle-Feeder(Floor Trading Only),5 USD,50000 lb,0.01 USD / lb,USD,,,19770902,,,,,,,
698,54,XT,CME,S&P Topix 150 Index,50 JPY,5000 JPY x Index,points,JPY,,,20020320,,,,,,,
699,54,YM,CBT,DJIA Mini $5 Index,5 USD,5 USD x Index,points,USD,,,20020405,,,,,,,
711,54,SEK,CME,Swedish Krona/U.S. Dollar,20 USD,2000000 SEK,USD,USD,,,20020522,,,,,,,
712,54,NOK,CME,Norwegian Krone/U.S. Dollar,20 USD,2000000 NOR,USD,USD,,,20020522,,,,,,,
713,54,ESK,CME,Euro/Swedish Krona,12.5 SEK,125000 EUR,SEK,SEK,,,20020522,,,,,,,
714,54,ENK,CME,Euro/Norwegian Kroner,12.5 NOK,125000 EUR,NOK,NOK,,,20020522,,,,,,,
715,54,EAD,CME,Euro/Australian Dollar,12.5 AUD,125000 EUR,AUD,AUD,,,20020522,,,,,,,
716,54,ECD,CME,Euro/Canadian Dollar,2.5 CAD,125000 EUR,CAD,CAD,,,20020522,,,,,,,
717,54,CJY,CME,Canadian Dollar/Japanese Yen,2000 JPY,200000 CAD,JPY,JPY,,,20020522,,,,,,,
718,54,ACD,CME,Australian Dollar/Canadian Dollar,20 CAD,200000 AUD,CAD,CAD,,,20020523,,,,,,,
719,54,ANE,CME,Australian Dollar/New Zealand Dollar,20 NZD,200000 AUD,NZD,NZD,,,20020522,,,,,,,
720,54,AJY,CME,Australian Dollar/Japanese Yen,2000 JPY,200000 AUD,JPY,JPY,,,20020522,,,,,,,
721,54,PSF,CME,British Pound/Swiss Franc,12.5 CHF,125000 GBP,CHF,CHF,,,20020522,,,,,,,
722,54,PJY,CME,British Pound/Japanese Yen,1250 JPY,125000 GBP,JPY,JPY,,,20020522,,,,,,,
723,54,SJY,CME,Swiss Franc/Japanese Yen,250 JPY,250000 CHF,JPY,JPY,,,20020522,,,,,,,
724,54,QG,NYMEX,Natural Gas-Henry Hub e-miNY,2.50 USD,2500 mmBtu,USD / mmBtu,USD,,,19950511,,,,,,,
728,54,YA2,SFE,SPI 200 Index(w/SYCOM),2.5 AUD,25 AUD x Index,points,AUD,,,19840803,,,,,,,
729,54,LST,CME,TRAKRS Long/Short Tech II Index,0.01 USD,1 USD x Index,points,USD,,,20020801,,,,,,,
733,54,FIN,CME,SPCTR-Financial Index(Floor+Electronic Combined),1.25 USD,125 USD x S&P500 Fin Sect Index,points,USD,,,20030307,,,,,,,
734,54,TEC,CME,SPCTR-Technology Index((Floor+Electronic Combined)CME,1.25 USD,125 USD x S&P500 Tech Sect Index,points,USD,,,20030307,,,,,,,
736,54,SMC,CME,E-Mini S&P 600 Smallcap Index,1 USD,100 USD x Index,points,USD,,,20021111,,,,,,,
740,54,US8,CME,CME Dollar Index(Floor+Electronic Combined),10 USD,1000 USD x CME $ Index,points,USD,,,20030303,,,,,,,
741,54,USX,CME,CME Dollar Index(Floor Trading Only),10 USD,1000 USD x CME $ Index,points,USD,,,20030303,,,,,,,
742,54,NIF,NSI,S&P CNX Nifty Index,2 INR,100 INR x Index,points,INR,,,20030520,,,,,,,
745,54,RSS,CME,Index-Russell 1000,1 USD,100 USD x Index,points,USD,,,20030428,,,,,,,
746,54,IH,MGE,Wheat Index(Hard Winter),6.25 USD,5000 bu,0.01 USD / bu,USD,,,20030512,,,,,,,
747,54,GG,NYFE,Russell 1000 Growth Index,5 USD,500 USD x Index,points,USD,,,20030512,,,,,,,
748,54,VV,NYFE,Russell 1000 Value Index,5 USD,500 USD x Index,points,USD,,,20030512,,,,,,,
750,54,FF2,CBT,Fed Fund Rate 30 Day(Floor Trading Only),4.167 USD,5000000 USD,USD / basis point,USD,,,19881003,,,,,,,
751,54,ST2,SGX,MSCI Taiwan Index(Floor Trading Only) (SIMEX),10 USD,100 USD x Index,points,USD,,,19970109,,,,,,,
764,54,LC4,ICE,Brent Crude (IPE)(Electronic),10 USD,1000 bbl,USD / bbl,USD,,,19890228,,,,,,,
778,54,YU,NYFE,NYSE Composite Index-Revised,0.50 USD,50 USD x Index,points,USD,,,19811231,,,,,,,
782,54,QCN,CME,E-mini Nasdaq Composite Index Futures (Floor+Electronic Combined),0.20 USD,20 USD x Index,points,USD,,,20031031,,,,,,,
809,54,HG2,COMEX,CopperHG (Floor+Electronic Combined),2.50 USD,25000 lb,0.01 USD / lb,USD,,,19740605,,,,,,,
849,54,PA2,NYMEX,Palladium (Floor+Electronic Combined),1 USD,100 toz,USD / toz,USD,,,19830718,,,,,,,
856,54,CL2,NYMEX,Crude Oil-Light (Floor+Electronic Combined),10 USD,1000 bbl,USD / bbl,USD,,,19830330,,,,,,,
857,54,HO2,NYMEX,Heating Oil #2 (Floor+Electronic Combined),4.20 USD,42000 gal,USD / gal,USD,,,19781115,,,,,,,
858,54,HU2,NYMEX,Gasoline Unleaded (Floor+Electronic Combined),4.20 USD,42000 gal,USD / gal,USD,,,19841203,,,,,,,
859,54,PL2,NYMEX,Platinum (Floor+Electronic Combined),5 USD,50 toz,USD / toz,USD,,,19770826,,,,,,,
867,54,GC2,COMEX,Gold (Floor+Electronic Combined),10 USD,100 toz,USD / toz,USD,,,19750102,,,,,,,
868,54,SI2,COMEX,Silver (Floor+Electronic Combined),5 USD,5000 toz,0.01 USD / toz,USD,,,19671206,,,,,,,
869,54,NG2,NYMEX,Natural Gas-Henry Hub (Floor+Electronic Combined),10 USD,10000 mmBtu,USD / mmBtu,USD,,,19950511,,,,,,,
912,54,NK2,CME,Nikkei 225 Index(Floor Trading Only),5 USD,5 USD x Index,points,USD,,,19900925,,,,,,,
919,54,VX,CFE,CBOE Volatility Index,1 USD,1000 USD x VBI,points,USD,,,20040405,,,,,,,
941,54,IFS,MIF,MIB FTSE Index (S&P-June09),5 EUR,5 EUR x Index,points,EUR,,,19930319,,,,,,,
942,54,IFM,MIF,MIB Index-Mini,1 EUR,1 EUR x Index,points,EUR,,,20040805,,,,,,,
948,54,CX,CFE,CBOE China Index,1 USD,100 USD x Index,points,USD,,,20041116,,,,,,,
950,54,PLZ,CME,Polish Zloty-U.S. Dollar,5 USD,500000 PLN,points,USD,,,20041116,,,,,,,
951,54,EPL,CME,Euro/Polish Zloty,5 EUR,500000 PLN,points,EUR,,,20041116,,,,,,,
953,54,W20,WSE,WIG 20 Index,0.1 PLN,10 PLN x Index,points,PLN,,,20050203,,,,,,,
955,54,FSB,EUREX,DJ Banks STOXXSM600 Index,0.5 EUR,50 EUR x Index,points,EUR,,,20050203,,,,,,,
956,54,O30,OMX,OMXS30 Index(Future) (SOM),1 SEK,100 SEK x Index,points,SEK,,,19921012,,,,,,,
957,54,RI,MGE,Wheat Index-Soft Red Winter,6.25 USD,5000 bu,0.01 USD / bu,USD,,,20050218,,,,,,,
958,54,SW,MGE,Wheat Index-Red Spring,6.25 USD,5000 bu,0.01 USD / bu,USD,,,20050218,,,,,,,
959,54,EFE,EURONEXT,FTSE Eurofirst 80 Index (LIFFE),0.1 EUR,10 EUR x Index,points,EUR,,,20050308,,,,,,,
960,54,EFP,EURONEXT,FTSE Eurofirst 100 Index (LIFFE),0.1 EUR,10 EUR x Index,points,EUR,,,20050308,,,,,,,
967,54,QQQ,CME,ETF-Nasdaq 100(Electronic Only),2 USD,200 shares,USD / Share,USD,,,20051214,,,,,,,
968,54,SPY,CME,ETF-S&P Depositary Receipts(Electronic Only),1 USD,100 shares,USD / Share,USD,,,20051214,,,,,,,
969,54,IWM,CME,ETF-iShares Russell 2000(Electronic Only),1 USD,200 shares,USD / share,USD,,,20060120,,,,,,,
970,54,CRB,NYFE,Reuters Jefferies CRB Index,2 USD,200 USD x Index,points,USD,,,19940103,,,,,,,
975,54,RB,NYMEX,Gasoline-Reformulated Blendstock(Floor),4.20 USD,42000 gal,USD / gal,USD,,,19841203,,,,,,,
976,54,RB2,NYMEX,Gasoline-Reformulated Blendstock(Combined),4.20 USD,42000 gal,USD / gal,USD,,,19841203,,,,,,,
978,54,RCI,CME,TRAKRS Rogers Intl Commodity Index(Electronic Only),0.01 USD,1 USD x Index,points,USD,,,20051214,,,,,,,
979,54,TDX,EUREX,TecDAX Index,0.01 EUR,10 EUR x Index,points,EUR,,,20051201,,,,,,,
987,54,E,FINEX,Euro Currency Index,1 EUR,1000 EUR x Index,points,EUR,,,20060113,,,,,,,
990,54,VD,CFE,DJIA Volatility Index,1 USD,1000 USD x (10 x Index),points,USD,,,20060120,,,,,,,
992,54,IPC,MXN,IPC Index,100 MXN,0.10 MXN,points,MXN,,,20060223,,,,,,,
993,54,F2X,EUREX,Dax Index(Last Trade in Close Field),2.5 EUR,25 EUR x Index,points,EUR,,,19901126,,,,,,,
994,54,S2E,EUREX,Dow Jones Euro Stoxx 50 Index(Last Trade in Close Field),1 EUR,10 EUR x Index,points,EUR,,,19980622,,,,,,,
100048,54,S50,TFEX,Set 50 Index,10 THB,1000 THB x Index,points,THB,,,20060824,,,,,,,
100049,54,RIX,RTS,RTS Index,0.02 USD,2 USD x Index,points,USD,,,20060823,,,,,,,
100051,54,CEC,OTOB,CECEEUR Index,0.05 EUR,5 EUR x Index,points,EUR,,,20060823,,,,,,,
100052,54,BUX,BUD,BUX Index,1 HUF,100 HUF x Index,points,HUF,,,20060823,,,,,,,
100056,54,AXJ,ASX,S&P/ASX Index-Mini 200,1 AUD,10 AUD x Index,points,AUD,,,20060908,,,,,,,
100060,54,RA,CME,SA Rand (Floor+ Electronic Combined),5 USD,500000 ZAR,USD,USD,,,19970512,,,,,,,
100062,54,NE,CME,New Zealand Dollar (Floor+Electronic Combined),10 USD,100000 NZD,USD / NZD,USD,,,19970512,,,,,,,
100084,54,DEE,EUREX,DJ Euro Stoxx Oil & Gas Sector Index,0.5 EUR,50 EUR x Index,points,EUR,,,20061130,,,,,,,
100085,54,DJE,EUREX,DJ STOXX 600 Oil & Gas Sector Index,0.5 EUR,50 EUR x Index,points,EUR,,,20070328,,,,,,,
100099,54,ESM,EUREX,Swiss Mid-cap Index,0.1 CHF,10 CHF x Index,points,CHF,,,20061208,,,,,,,
100100,54,EVD,EUREX,VDAX New Index,10 EUR,1000 EUR x Index,points,EUR,,,20061208,,,,,,,
100101,54,EVS,EUREX,VSTOXX Index,10 EUR,1000 EUR x Index,points,EUR,,,20061208,,,,,,,
100119,54,ILS,CME,Isreali Shekel,10 USD,1000000 ILS,USD / ILS,USD,,,20070220,,,,,,,
100120,54,CKO,CME,Czech Koruna,4 USD,4000000 CZK,USD / 100 CZK,USD,,,20070220,,,,,,,
100121,54,ECZ,CME,Czech Koruna/Euro,4 EUR,4000000 CZK,EUR / 100 CZK,EUR,,,20070220,,,,,,,
100122,54,HFO,CME,Hungarian Forint,3 USD,30000000 HUF,USD / 100 HUF,USD,,,20070220,,,,,,,
100123,54,EHU,CME,Hungarian Forint/Euro,3 EUR,30000000 HUF,EUR / 100 HUF,EUR,,,20070220,,,,,,,
100138,54,REI,CBT,DJ Real Estate,1 USD,100 USD x Index,points,USD,,,20070328,,,,,,,
100140,54,SB2,NYCE,Sugar #11 (Floor+Electronic Combined),11.20 USD,112000 lb,0.01 USD / lb,USD,,,19651230,,,,,,,
100144,54,CT2,NYCE,Cotton #2 (Floor+Electronic Combined),5 USD,50000 lb,0.01 USD / lb,USD,,,19730402,,,,,,,
100146,54,KC2,NYCE,Coffee (Floor+Electronic Combined),3.75 USD,37500 lb,0.01 USD / lb,USD,,,19730402,,,,,,,
100148,54,CC2,NYCE,Cocoa (Floor+Electronic Combined),10 USD,10 tonnes,USD / tonne,USD,,,19651230,,,,,,,
100150,54,OJ2,NYCE,Orange Juice-Frozen  (Floor+Electronic Combined),1.50 USD,15000 lb,0.01 USD / lb,USD,,,19760109,,,,,,,
100168,54,SS4,SGX,MSCI Singapore Index,20 SGD,200 SGD x Index,points,SGD,,,19980901,,,,,,,
100169,54,SS3,SGX,MSCI Singapore Index-Prior Evening Session(Close in Last Field),20 SGD,200 SGD x Index,points,SGD,,,19980901,,,,,,,
100170,54,SI4,SGX,S&P CNX Nifty Index (Day Only),2 USD,2 USD x Index,points,USD,,,20000925,,,,,,,
100205,54,DX2,FINEX,U.S. Dollar Index(Floor+Electronic Combined),1 USD,1000 USD x Index,points,USD,,,19710104,,,,,,,
38,49,MCU,LME,Gold-Spot O;H&L(AM/PM fix);C(PM fix),0.1 USD,100 oz,USD / oz,USD,,,19750416,,,,,FN38,
38,50,MCU,LME,Gold-Spot O;AM fix;PM fix;C,0.1 USD,100 oz,USD / oz,USD,,,19750416,,,,,FN38,
38,52,MCU,LME,Gold O;AM fix;H&L(AM/PM Fix);C(PM-LM),0.1 USD,100 oz,USD / oz,USD,,,19750416,,,,,FN38,
38,46,MCU,LME,Copper Cash Close,2.50 USD,25 tonnes,USD / tonne,USD,,,19680102,,,,,FN38,
38,48,MCU,LME,Copper Cash OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19680102,,,,,FN38,
38,39,MCU,LME,Copper  3 Mth OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19680102,,,,,FN38,
38,41,MCU,LME,Copper 15 Mth OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19870611,,,,,FN38,
38,44,MCU,LME,Copper 27 Mth OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19910610,,,,,FN38,
38,58,MCU,LME,Copper Cash O&H-AM fix;L&C-PM fix;,2.5 USD,25 tonnes,USD / tonne,USD,,,19880201,,,,,FN38,
38,59,MCU,LME,Copper  3 Mth AM/PM fix;,2.5 USD,25 tonnes,USD / tonne,USD,,,19880201,,,,,FN38,
38,60,MCU,LME,Copper 15 Mth AM/PM fix,2.50 USD,25 tonnes,USD / tonne,USD,,,19930517,,,,,FN38,
38,53,MCU,LME,Copper 27 Mth AM/PM fix,2.5 USD,25 tonnes,USD / tonne,USD,,,19910610,,,,,FN38,
38,51,MCU,LME,British Pound Settlement Rate,2.5 USD,25 tonnes,USD / tonne,USD,,,19680102,,,,,FN38,
46,46,MTN,LME,Tin Cash Close,5 USD,5 tonnes,USD / tonne,USD,,,19890601,,,,,,,
46,48,MTN,LME,Tin Cash OHLC,5 USD,5 tonnes,USD / tonne,USD,,,19890629,,,,,,,
46,39,MTN,LME,Tin  3 Mth OHLC,5 USD,5 tonnes,USD / tonne,USD,,,19890601,,,,,,,
46,41,MTN,LME,Tin 15 Mth OHLC,5 USD,5 tonnes,USD / tonne,USD,,,19890601,,,,,,,
46,58,MTN,LME,Tin Cash AM/PM fix,5 USD,5 tonnes,USD / tonne,USD,,,19890601,,,,,,,
46,59,MTN,LME,Tin  3 Mth AM/PM fix,5 USD,5 tonnes,USD / tonne,USD,,,19890601,,,,,,,
46,60,MTN,LME,Tin 15 Mth AM/PM fix,5 USD,5 tonnes,USD / tonne,USD,,,19891031,,,,,,,
47,46,MPB,LME,Lead Cash Close,2.50 USD,25 tonnes,USD / tonne,USD,,,19680102,,,,,FN47,
47,48,MPB,LME,Lead Cash OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19680102,,,,,FN47,
47,39,MPB,LME,Lead  3 Mth OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19680102,,,,,FN47,
47,41,MPB,LME,Lead 15 Mth OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19870611,,,,,FN47,
47,58,MPB,LME,Lead Cash AM/PM fix,2.50 USD,25 tonnes,USD / tonne,USD,,,19880201,,,,,FN47,
47,59,MPB,LME,Lead  3 Mth AM/PM fix,2.5 USD,25 tonnes,USD / tonne,USD,,,19880201,,,,,FN47,
47,60,MPB,LME,Lead 15 Mth AM/PM fix,2.5 USD,25 tonnes,USD / tonne,USD,,,19891031,,,,,FN47,
48,46,MZS,LME,Zinc Cash Close,2.50 USD,25 tonnes,USD / tonne,USD,,,19880901,,,,,FN48,
48,48,MZS,LME,Zinc Cash OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19880920,,,,,FN48,
48,39,MZS,LME,Zinc  3 Mth OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19880901,,,,,FN48,
48,42,MZS,LME,Zinc 15 Mth OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19880901,,,,,FN48,
48,44,MZS,LME,Zinc 27 Mth OHLC,2.50 USD,25 tonnes,USD / tonne,USD,,,19910610,,,,,FN48,
48,58,MZS,LME,Zinc Cash AM/PM fix,2.50 USD,25 tonnes,USD / tonne,USD,,,19900330,,,,,FN48,
48,59,MZS,LME,Zinc  3 Mth AM/PM fix,2.50 USD,25 tonnes,USD / tonne,USD,,,19900330,,,,,FN48,
48,60,MZS,LME,Zinc 15 Mth AM/PM fix,2.50 USD,25 tonnes,USD / tonne,USD,,,19900330,,,,,FN48,
48,53,MZS,LME,Zinc 27 Mth AM/PM fix,2.5 USD,25 tonnes,USD / tonne,USD,,,19910610,,,,,FN48,
80,46,MNI,LME,Nickel Cash Close,6 USD,6 tonnes,USD / tonne,USD,,,19800122,,,,,,,
80,48,MNI,LME,Nickel Cash OHLC,6 USD,6 tonnes,USD / tonne,USD,,,19790720,,,,,,,
80,39,MNI,LME,Nickel  3 Mth OHLC,6 USD,6 tonnes,USD / tonne,USD,,,19790423,,,,,,,
80,41,MNI,LME,Nickel 15 Mth OHLC,6 USD,6 tonnes,USD / tonne,USD,,,19870611,,,,,,,
80,44,MNI,LME,Nickel 27 Mth OHLC,6 USD,6 tonnes,USD / tonne,USD,,,19950717,,,,,,,
80,58,MNI,LME,Nickel Cash AM/PM fix,6 USD,6 tonnes,USD / tonne,USD,,,19880201,,,,,,,
80,59,MNI,LME,Nickel  3 Mth AM/PM fix,6 USD,6 tonnes,USD / tonne,USD,,,19880201,,,,,,,
80,60,MNI,LME,Nickel 15 Mth AM/PM fix,6 USD,6 tonnes,USD / tonne,USD,,,19891031,,,,,,,
80,53,MNI,LME,Nickel 27 Mth AM/PM fix,6 USD,6 tonnes,USD / tonne,USD,,,19940531,,,,,,,
82,46,MAA,LME,Alum Alloy Cash Close,2 USD,20 tones,USD / tone,USD,,,19930104,,,,,,,
82,48,MAA,LME,Alum Alloy Cash OHLC,2 USD,20 tones,USD / tone,USD,,,19921124,,,,,,,
82,39,MAA,LME,Alum Alloy  3 Mth OHLC,2 USD,20 tones,USD / tone,USD,,,19921006,,,,,,,
82,41,MAA,LME,Alum Alloy 15 Mth OHLC,2 USD,20 tones,USD / tone,USD,,,19921006,,,,,,,
82,58,MAA,LME,Alum Alloy Cash AM/PM fix,2 USD,20 tones,USD / tone,USD,,,19930104,,,,,,,
82,59,MAA,LME,Alum Alloy  3 Mth AM/PM fix,2 USD,20 tone,USD / tone,USD,,,19921006,,,,,,,
82,60,MAA,LME,Alum Alloy 15 Mth AM/PM fix,2 USD,20 tone,USD / tone,USD,,,19921006,,,,,,,
82,44,MAA,LME,Aluminum Alloy 27 Mth OHLC,2.5 USD,25 tonnes,USD / tonne,USD,,,20020311,,,,,,,
92,46,MHA,LME,Aluminum Cash Close,2.5 USD,25 tonnes,USD / tonne,USD,,,19870827,,,,,,,
92,48,MHA,LME,Aluminum Cash OHLC,2.5 USD,25 tonnes,USD / tonne,USD,,,19870827,,,,,,,
92,39,MHA,LME,Aluminum  3 Mth OHLC,2.5 USD,25 tonnes,USD / tonne,USD,,,19870611,,,,,,,
92,41,MHA,LME,Aluminum 15 Mth OHLC,2.5 USD,25 tonnes,USD / tonne,USD,,,19870611,,,,,,,
92,44,MHA,LME,Aluminum 27 Mth OHLC,2.5 USD,25 tonnes,USD / tonne,USD,,,19910610,,,,,,,
92,58,MHA,LME,Aluminum Cash AM/PM fix,2.5 USD,25 tonnes,USD / tonne,USD,,,19880201,,,,,,,
92,59,MHA,LME,Aluminum  3 Mth AM/PM fix,2.5 USD,25 tonnes,USD / tonne,USD,,,19880201,,,,,,,
92,60,MHA,LME,Aluminum 15 Mth AM/PM fix,2.5 USD,25 tonnes,USD / tonne,USD,,,19891031,,,,,,,
92,53,MHA,LME,Aluminum 27 Mth AM/PM fix,2.5 USD,25 tonnes,USD / tonne,USD,,,19910610,,,,,,,
98,51,QH9,USGOV,T-Bill- 30 Day Rate,1 USD,NONE,percent,USD,,,20010801,,,,,FN98,
98,52,QH9,USGOV,T-Bill- 90 Day Rate,1 USD,NONE,percent,USD,,,19540105,,,,,FN98,
98,53,QH9,USGOV,T-Bill-180 Day Rate,1 USD,NONE,percent,USD,,,19581210,,,,,FN98,
160,57,QE,USGOV,Commer. Paper Dealer Rate-30 Day Rate,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,58,QE,USGOV,Commer. Paper Dealer Rate-60 Day Rate,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,59,QE,USGOV,Commer. Paper Dealer Rate-90 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,60,QE,USGOV,Bankers Accept. Rate- 30 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,38,QE,USGOV,Bankers Accept. Rate- 60 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
