CSI#,MONTH CODE,SYMBOL,EXCHANGE,NAME,POINT VALUE,CONTRACT SIZE,UNIT OF MEASURE,CURRENCY,,,START DATE,,,,,FOOTNOTE,
160,39,QE,USGOV,Bankers Accept. Rate- 90 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,41,QE,USGOV,Bankers Accept. Rate-120 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,42,QE,USGOV,Bankers Accept. Rate-150 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,37,QE,USGOV,Bankers Accept. Rate-180 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,51,QE,USGOV,Secondary CD Rate- 30 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,52,QE,USGOV,Secondary CD Rate- 60 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,53,QE,USGOV,Secondary CD Rate- 90 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,54,QE,USGOV,Secondary CD Rate-120 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,55,QE,USGOV,Secondary CD Rate-150 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
160,56,QE,USGOV,Secondary CD Rate-180 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN160,
172,48,QF,USGOV,Eurodollar Deposit Rate- 90 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN172,
172,49,QF,USGOV,Eurodollar Deposit Rate-180 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN172,
172,50,QF,USGOV,Eurodollar Deposit Rate-360 Day,1 USD,NONE,percent,USD,,,19800422,,,,,FN172,
172,54,QF,USGOV,Fed Funds Rate,1 USD,NONE,percent,USD,,,19800422,,,,,FN172,
172,55,QF,USGOV,Libor Rate-3 Mth,1 USD,NONE,percent,USD,,,19841024,,,,,FN172,
172,56,QF,USGOV,Libor Rate-6 Mth,1 USD,NONE,percent,USD,,,19841024,,,,,FN172,
234,51,QI,USGOV,Prime Rate,1 USD,NONE,percent,USD,,,19811014,,,,,FN234,
234,52,QI,USGOV,Discount Rate,1 USD,NONE,percent,USD,,,19730702,,,,,FN234,
234,37,QI,USGOV,US Dollar/Sterling Rate-  Spot,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,38,QI,USGOV,US Dollar/Sterling Rate- 1 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,39,QI,USGOV,US Dollar/Sterling Rate- 2 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,41,QI,USGOV,US Dollar/Sterling Rate- 3 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,42,QI,USGOV,US Dollar/Sterling Rate- 4 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,43,QI,USGOV,US Dollar/Sterling Rate- 5 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,44,QI,USGOV,US Dollar/Sterling Rate- 6 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,45,QI,USGOV,US Dollar/Sterling Rate- 7 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,46,QI,USGOV,US Dollar/Sterling Rate- 8 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,47,QI,USGOV,US Dollar/Sterling Rate- 9 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,48,QI,USGOV,US Dollar/Sterling Rate-10 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,49,QI,USGOV,US Dollar/Sterling Rate-11 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,55,QI,USGOV,US Dollar/Sterling Rate-12 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,56,QI,USGOV,US Dollar/Sterling Rate-13 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,57,QI,USGOV,US Dollar/Sterling Rate-14 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
234,58,QI,USGOV,US Dollar/Sterling Rate-15 Mth,1 USD,NONE,percent,USD,,,19910123,,,,,FN234,
171,37,A$,CASH,U.K. Sterling per Australian $,,1 AUD,GBP,GBP,,,19860919,,,,,,,
171,39,A$,CASH,Japanese Yen per Australian$,,1 AUD,JPY,JPY,,,19860919,,,,,,,
171,40,A$,CASH,Swiss Francs per Australian$,,1 AUD,CHF,CHF,,,19860919,,,,,,,
171,41,A$,CASH,U.S. Dollars per Australian$,,1 AUD,USD,USD,,,19860919,,,,,,,
171,42,A$,CASH,Canadian Dollars per Australian$,,1 AUD,CAD,CAD,,,19990607,,,,,,,
171,44,A$,CASH,Hong Kong Dollars per Australian$,,1 AUD,HKD,HKD,,,19990607,,,,,,,
171,51,A$,CASH,New Zealand Dollars per Australian $,,1 AUD,NZD,NZD,,,19990607,,,,,,,
171,52,A$,CASH,Singapore Dollars per Australian$,,1 AUD,SGD,SGD,,,19990607,,,,,,,
217,37,Q,CASH,Cotton-Southeast,,,0.01 USD / lb,USD,,,19840719,,,,,,,
217,38,Q,CASH,Cotton-North Delta,,,0.01 USD / lb,USD,,,19840719,,,,,,,
217,39,Q,CASH,Cotton-East Texas/Oklahoma,,,0.01 USD / lb,USD,,,19840719,,,,,,,
217,40,Q,CASH,Cotton-West Texas,,,0.01 USD / lb,USD,,,19840719,,,,,,,
217,41,Q,CASH,Cotton-South Delta,,,0.01 USD / lb,USD,,,19840719,,,,,,,
217,43,Q,CASH,Cotton-Desert Southwest,,,0.01 USD / lb,USD,,,19840719,,,,,,,
217,44,Q,CASH,Cotton-San Jose Valley,,,0.01 USD / lb,USD,,,19840719,,,,,,,
217,45,Q,CASH,Cotton-7 Market Average,,,0.01 USD / lb,USD,,,19840719,,,,,,,
218,37,QA,CASH,Cocoa-Main Crop Ivory Coast,,,USD / tonne,USD,,,19840719,,,,,,,
218,39,QA,CASH,Cocoa-FAQ Cocoa Beans Sanchez,,,USD / tonne,USD,,,19840719,,,,,,,
218,40,QA,CASH,Cocoa-Superior Seasons Arriba,,,USD / tonne,USD,,,19840719,,,,,,,
218,41,QA,CASH,Cocoa Liquor-Ecuador,,,USD / tonne,USD,,,19840719,,,,,,,
218,43,QA,CASH,Cocoa-Pressed Cocoa Butter-Africa,,,USD / tonne,USD,,,19840719,,,,,,,
218,45,QA,CASH,Cocoa-Natural Cocoa Press Cake-NY,,,USD / tonne,USD,,,19840719,,,,,,,
218,46,QA,CASH,Cocoa-Maylasia 110-NY,,,USD / tonne,USD,,,19881004,,,,,,,
219,46,QB,CASH,North Sea Forties Oil,,,USD / bbl,USD,,,19840820,,,,,FN219,
219,47,QB,CASH,North Sea Brent Oil,,,USD / bbl,USD,,,19840820,,,,,FN219,
219,48,QB,CASH,Nigerian Bonny Light Oil,,,USD / bbl,USD,,,19840820,,,,,FN219,
219,49,QB,CASH,Russian Urals Oil),,,USD / bbl,USD,,,19840820,,,,,FN219,
219,53,QB,CASH,W. Texas Intermed Sweet Oil,,,USD / bbl,USD,,,19840412,,,,,FN219,
219,54,QB,CASH,W. Tex Sour Midland Oil,,,USD / bbl,USD,,,19840720,,,,,FN219,
219,55,QB,CASH,Louis. Sweet St. James Oil,,,USD / bbl,USD,,,19840412,,,,,FN219,
219,56,QB,CASH,N. Slope Alaskan/Gulf Oil,,,USD / bbl,USD,,,19840820,,,,,FN219,
219,57,QB,CASH,Ref.-NY #2 Fuel Oil,,,0.01 USD / gal,USD,,,19840412,,,,,FN219,
219,58,QB,CASH,Ref.-NY Reg Leaded Gas,,,0.01 USD / gal,USD,,,19840412,,,,,FN219,
219,59,QB,CASH,Ref.-NY Reg Unldd Gas,,,0.01 USD / gal,USD,,,19840412,,,,,FN219,
219,60,QB,CASH,Ref.-Mt. Belvieu Texas Propane,,,0.01 USD / gal,USD,,,19840820,,,,,FN219,
390,37,US$,CASH,Australian Dollars per U.S. Dollar,,1 USD,AUD,AUD,,,19710104,,,,,,,
390,39,US$,CASH,Canadian Dollars per U.S. Dollar,,1 USD,CAD,CAD,,,19710104,,,,,,,
690,59,U2$,CASH,Danish Krones per U.S. Dollar,,1 USD,DKK,DKK,,,19710104,,,,,,,
390,44,US$,CASH,Hong Kong Dollars per U.S. Dollar,,1 USD,HKD,HKD,,,19810102,,,,,,,
390,46,US$,CASH,Japanese Yen per U.S. Dollar,,1 USD,JPY,JPY,,,19710104,,,,,,,
390,47,US$,CASH,Malaysian Ringits per U.S. Dollar,,1 USD,MYR,MYR,,,19710104,,,,,,,
390,49,US$,CASH,Norwegian Kroners per U.S. Dollar,,1 USD,NOK,NOK,,,19710104,,,,,,,
390,51,US$,CASH,New Zealand Dollars per U.S. Dollar,,1 USD,NZD,NZD,,,19710104,,,,,,,
390,52,US$,CASH,Singapore Dollars per U.S. Dollar,,1 USD,SGD,SGD,,,19810102,,,,,,,
390,53,US$,CASH,Swiss Francs per U.S. Dollar,,1 USD,CHF,CHF,,,19710104,,,,,,,
390,55,US$,CASH,U.S. Dollars per U.K. Sterling,,1 GBP,USD,USD,,,19710104,,,,,,,
390,56,US$,CASH,Mexican Pesos per U.S. Dollar,,1 USD,MXN,MXN,,,19931108,,,,,,,
390,57,US$,CASH,South African Rands per U.S. Dollar,,1 USD,ZAR,ZAR,,,19710104,,,,,,,
390,58,US$,CASH,Swedish Kronas per U.S. Dollar,,1 USD,SEK,SEK,,,19710104,,,,,,,
390,60,US$,CASH,Korean Won per U.S. Dollar,,1 USD,KRW,KRW,,,19810413,,,,,,,
591,49,EU2,CASH,Norwegian Kroners per Euro,,1 EUR,NOK,NOK,,,19990216,,,,,,,
590,37,GB2,CASH,Australian Dollars per U.K. Sterling,,1 GBP,AUD,AUD,,,19990607,,,,,,,
590,39,GB2,CASH,Canadian Dollars per U.K. Sterling,,1 GBP,CAD,CAD,,,19980605,,,,,,,
590,41,GB2,CASH,Danish Krones per U.K. Sterling,,1 GBP,DKK,DKK,,,19980605,,,,,,,
590,44,GB2,CASH,Hong Kong Dollars per U.K. Sterling,,1 GBP,HKD,HKD,,,19980605,,,,,,,
590,46,GB2,CASH,Japanese Yen per U.K. Sterling,,1 GBP,JPY,JPY,,,19980605,,,,,,,
590,47,GB2,CASH,Malaysian Ringits per U.K. Sterling,,1 GBP,MYR,MYR,,,19980605,,,,,,,
590,49,GB2,CASH,Norwegian Kroners per U.K. Sterling,,1 GBP,NOK,NOK,,,19980605,,,,,,,
590,51,GB2,CASH,New Zealand Dollars per U.K. Sterling,,1 GBP,NZD,NZD,,,19980605,,,,,,,
590,52,GB2,CASH,Singapore Dollars per U.K. Sterling,,1 GBP,SGD,SGD,,,19990607,,,,,,,
590,53,GB2,CASH,Swiss Francs per U.K. Sterling,,1 GBP,CHF,CHF,,,19980605,,,,,,,
590,56,GB2,CASH,Mexican Pesos per U.K. Sterling,,1 GBP,MXN,MXN,,,19990607,,,,,,,
590,57,GB2,CASH,South African Rand per U.K. Sterling,,1 GBP,ZAR,ZAR,,,19990607,,,,,,,
590,58,GB2,CASH,Swedish Kronas per U.K. Sterling,,1 GBP,SEK,SEK,,,19980605,,,,,,,
591,37,EU2,CASH,Australian per Euro,,1 EUR,AUD,AUD,,,19990104,,,,,,,
591,39,EU2,CASH,Canadian Dollars per Euro,,1 EUR,CAD,CAD,,,19990104,,,,,,,
591,41,EU2,CASH,Danish Krones per Euro,,1 EUR,DKK,DKK,,,19990104,,,,,,,
591,46,EU2,CASH,Japanese Yen per Euro,,1 EUR,JPY,JPY,,,19990104,,,,,,,
591,53,EU2,CASH,Swiss Francs per Euro,,1 EUR,CHF,CHF,,,19990104,,,,,,,
591,55,EU2,CASH,U.K. Sterling  per Euro,,1 EUR,GBP,GBP,,,19990104,,,,,,,
591,58,EU2,CASH,Swedish Kronas per Euro,,1 EUR,SEK,SEK,,,19990104,,,,,,,
591,60,EU2,CASH,U.S. Dollars per Euro,,1 EUR,USD,USD,,,19990104,,,,,,,
591,44,EU2,CASH,Hong Kong Dollars per Euro,,1 EUR,HKD,HKD,,,19990607,,,,,,,
591,47,EU2,CASH,Malaysian Ringgits per Euro,,1 EUR,MYR,MYR,,,19990607,,,,,,,
591,51,EU2,CASH,New Zealand Dollars per Euro,,1 EUR,NZD,NZD,,,19990607,,,,,,,
591,52,EU2,CASH,Singapore Dollars per Euro,,1 EUR,SGD,SGD,,,19990607,,,,,,,
591,56,EU2,CASH,Mexican Pesos per Euro,,1 EUR,MXN,MXN,,,19990607,,,,,,,
591,57,EU2,CASH,South African Rand per Euro,,1 EUR,ZAR,ZAR,,,19990607,,,,,,,
689,48,MNA,LME,Alum.Alloy-No.Amer.Spec.   Cash OHLC,2 USD,20 tonnes,USD / tonne,USD,,,20020530,,,,,,,
689,39,MNA,LME,Alum.Alloy-No.Amer.Spec.  3 Mth OHLC,2 USD,20 tonnes,USD / tonne,USD,,,20020307,,,,,,,
689,41,MNA,LME,Alum.Alloy-No.Amer.Spec. 15 Mth OHLC,2 USD,20 tonnes,USD / tonne,USD,,,20020308,,,,,,,
689,44,MNA,LME,Alum.Alloy-No.Amer.Spec. 27 Mth Close,2 USD,20 tonnes,USD / tonne,USD,,,20020307,,,,,,,
689,46,MNA,LME,Alum.Alloy-No.Amer.Spec.   Cash Close,2 USD,20 tonnes,USD / tonne,USD,,,20020307,,,,,,,
689,58,MNA,LME,Alum.Alloy-No.Amer.Spec.   Cash AM/PM Fix,2 USD,20 tonnes,USD / tonne,USD,,,20020530,,,,,,,
689,59,MNA,LME,Alum.Alloy-No.Amer.Spec.  3 Mth AM/PM Fix,2 USD,20 tonnes,USD / tonne,USD,,,20020307,,,,,,,
689,60,MNA,LME,Alum.Alloy-No.Amer.Spec. 15 Mth AM/PM Fix,2 USD,20 tonnes,USD / tonne,USD,,,20020307,,,,,,,
689,53,MNA,LME,Alum.Alloy-No.Amer.Spec. 27 Mth AM/PM Fix,2 USD,20 tonnes,USD / tonne,USD,,,20020307,,,,,,,
774,39,UYR,USGOV,Treasury Yield Curve Rate-1 Mth,,,points,USD,,,20041116,,,,,,,
774,40,UYR,USGOV,Treasury Yield Curve Rate-3 Mth,,,points,USD,,,20041116,,,,,,,
774,41,UYR,USGOV,Treasury Yield Curve Rates-6 Mth,,,points,USD,,,20041116,,,,,,,
774,42,UYR,USGOV,Treasury Yield Curve Rate-1 Yr,,,points,USD,,,20041116,,,,,,,
774,43,UYR,USGOV,Treasury Yield Curve Rate-2 Yr,,,points,USD,,,20041116,,,,,,,
774,44,UYR,USGOV,Treasury Yield Curve Rate-3 Yr,,,points,USD,,,20041116,,,,,,,
774,45,UYR,USGOV,Treasury Yield Curve Rate-5 Yr,,,points,USD,,,20041116,,,,,,,
774,46,UYR,USGOV,Treasury Yield Curve Rate-7 Yr,,,points,USD,,,20041116,,,,,,,
774,47,UYR,USGOV,Treasury Yield Curve Rate-10 Yr,,,points,USD,,,20041116,,,,,,,
774,48,UYR,USGOV,Treasury Yield Curve Rate-20 Yr,,,points,USD,,,20041116,,,,,,,
774,49,UYR,USGOV,Required Net Yield Rate(90 Days)-5 Yr Balloon,,,points,USD,,,20041116,,,,,,,
774,50,UYR,USGOV,Required Net Yield Rate(90 Days)-7 Yr Balloon,,,points,USD,,,20041116,,,,,,,
774,51,UYR,USGOV,Required Net Yield Rate(90 Days)-15 Yr balloon,,,points,USD,,,20041116,,,,,,,
774,52,UYR,USGOV,Required Net Yield Rate(90 Days)-20 Yr balloon,,,points,USD,,,20041116,,,,,,,
774,53,UYR,USGOV,Required Net Yield Rate(90 Days)-30 Yr balloon,,,points,USD,,,20041116,,,,,,,
690,37,U2$,CASH,U.A.E. Dirhams per U.S. Dollar,,1 USD,AED,AED,,,20020124,,,,,,,
690,38,U2$,CASH,Bahraini Dollars per U.S. Dollar,,1 USD,BHD,BHD,,,20020124,,,,,,,
690,39,U2$,CASH,Brazilian Real per U.S. Dollar,,1 USD,BRL,BRL,,,20020124,,,,,,,
690,40,U2$,CASH,Chinese Yuan per U.S. Dollar,,1 USD,CNY,CNY,,,19810102,,,,,,,
690,41,U2$,CASH,Czech Korunas per U.S. Dollar,,1 USD,CZK,CZK,,,20020124,,,,,,,
690,42,U2$,CASH,Euros per U.S. Dollar,,1 USD,EUR,EUR,,,20020124,,,,,,,
690,43,U2$,CASH,Hungarian Forints per U.S. Dollar,,1 USD,HUF,HUF,,,20020124,,,,,,,
690,44,U2$,CASH,Indonesian Rupiahs per U.S. Dollar,,1 USD,IDR,IDR,,,20020124,,,,,,,
690,45,U2$,CASH,Indian Rupees per U.S. Dollar,,1 USD,INR,INR,,,19730102,,,,,,,
690,46,U2$,CASH,Kuwaiti Dinars per U.S. Dollar,,1 USD,KWD,KWD,,,20020124,,,,,,,
690,48,U2$,CASH,Polish Zlotys per U.S. Dollar,,1 USD,PLN,PLN,,,20020124,,,,,,,
690,49,U2$,CASH,Russian Rubles per U.S. Dollar,,1 USD,RUB,RUB,,,20020124,,,,,,,
690,50,U2$,CASH,Saudi Riyal per U.S. Dollar,,1 USD,SAR,SAR,,,20020204,,,,,,,
690,51,U2$,CASH,Slovakian Korunas per U.S. Dollar,,1 USD,SKK,SKK,,,20020124,,,,,,,
690,52,U2$,CASH,Thai Baht per U.S. Dollar,,1 USD,THB,THB,,,19810102,,,,,,,
690,53,U2$,CASH,Taiwan Dollars per U.S. Dollar,,1 USD,TWD,TWD,,,19831003,,,,,,,
690,54,U2$,CASH,Venezuelan Bolivars per U.S. Dollar,,1 USD,VEB,VEB,,,20020124,,,,,,,
690,55,U2$,CASH,Isreali Shekels per U.S. Dollar,,1 USD,ILS,ILS,,,20020124,,,,,,,
690,57,U2$,CASH,Pakistan Rupees per U.S. Dollar,,1 USD,PKR,PKR,,,20020124,,,,,,,
690,60,U2$,CASH,Latvian Lats per U.S. Dollar,,1 USD,LAT,LAT,,,20040420,,,,,,,
691,37,EU$,CASH,U.A.E Dirham per Euro,,1 EUR,AED,AED,,,20020124,,,,,,,
691,38,EU$,CASH,Bahraini Dollar per Euro,,1 EUR,BHD,BHD,,,20020124,,,,,,,
691,40,EU$,CASH,Chinese Yuan per Euro,,1 EUR,CNY,CNY,,,20020124,,,,,,,
691,41,EU$,CASH,Czech Korunas per Euro,,1 EUR,CZK,CZK,,,20020124,,,,,,,
691,43,EU$,CASH,Hungarian Forints per Euro,,1 EUR,HUF,HUF,,,20020124,,,,,,,
691,44,EU$,CASH,Indonesian Rupiahs per Euro,,1 EUR,IDR,IDR,,,20020124,,,,,,,
691,45,EU$,CASH,Indian Rupees per Euro,,1 EUR,INR,INR,,,20020124,,,,,,,
691,46,EU$,CASH,Kuwaiti Dinars per Euro,,1 EUR,KWD,KWD,,,20020124,,,,,,,
691,48,EU$,CASH,Polish Zlotys per Euro,,1 EUR,PLN,PLN,,,20020124,,,,,,,
691,49,EU$,CASH,Russian Rubles per Euro,,1 EUR,RUB,RUB,,,20020124,,,,,,,
691,50,EU$,CASH,Saudi Riyals per Euro,,1 EUR,SAR,SAR,,,20020204,,,,,,,
691,51,EU$,CASH,Slovakian Korunas per Euro,,1 EUR,SKK,SKK,,,20020124,,,,,,,
691,52,EU$,CASH,Thai Baht per Euro,,1 EUR,THB,THB,,,20020124,,,,,,,
691,53,EU$,CASH,Taiwan Dollar per Euro,,1 EUR,TWD,TWD,,,20020124,,,,,,,
691,54,EU$,CASH,Venezuelan Bolivar per Euro,,1 EUR,VEB,VEB,,,20020124,,,,,,,
691,60,EU$,CASH,Latvian Lats per Euro,,1 EUR,LAT,LAT,,,20040420,,,,,,,
775,39,JPY,CASH,Canadian Dollars to 1 Japanese Yen,,1 JPY,CAD,CAD,,,20040420,,,,,,,
775,40,JPY,CASH,Chinese Yuan Renminbis per Japanese Yen,,1 JPY,CNY,CNY,,,20040420,,,,,,,
775,41,JPY,CASH,Danish Krones per Japanese Yen,,1 JPY,DKK,DKK,,,20040420,,,,,,,
775,43,JPY,CASH,Hungarian Forints per Japanese Yen,,1 JPY,HUF,HUF,,,20040420,,,,,,,
775,44,JPY,CASH,Hong Kong Dollars per Japanese Yen,,1 JPY,HKD,HKD,,,20040420,,,,,,,
775,47,JPY,CASH,Malaysian Ringgits per Japanese Yen,,1 JPY,MYR,MXN,,,20040420,,,,,,,
775,48,JPY,CASH,Polish Zlotys per Japanese Yen,,1 JPY,PLN,PLN,,,20040420,,,,,,,
775,49,JPY,CASH,Norwegian Kroners per Japanese Yen,,1 JPY,NOK,NOK,,,20040420,,,,,,,
775,51,JPY,CASH,New Zealand Dollars per Japanese Yen,,1 JPY,NZD,NZD,,,20040420,,,,,,,
775,52,JPY,CASH,Singapore Dollars to 1 Japanese Yen,,1 JPY,SGD,SGD,,,20040420,,,,,,,
775,53,JPY,CASH,Swiss Francs per Japanese Yen,,1 JPY,CHF,CHF,,,20040420,,,,,,,
775,57,JPY,CASH,South African Rand per Japanese Yen,,1 JPY,ZAR,ZAR,,,20040420,,,,,,,
775,58,JPY,CASH,Swedish Kronas per Japanese Yen,,1 JPY,SEK,SEK,,,20040420,,,,,,,
776,39,CHF,CASH,Canadian Dollars per Swiss Franc,,1 CHF,CAD,CAD,,,20040420,,,,,,,
776,40,CHF,CASH,Chinese Yuan Renminbis per Swiss Franc,,1 CHF,CNY,CNY,,,20040420,,,,,,,
776,41,CHF,CASH,Danish Krones per Swiss Franc,,1 CHF,DKK,DKK,,,20040420,,,,,,,
776,43,CHF,CASH,Hungarian Forint per Swiss Franc,,1 CHF,HUF,HUF,,,20040420,,,,,,,
776,44,CHF,CASH,Hong Kong Dollars per Swiss Franc,,1 CHF,HKD,HKD,,,20040420,,,,,,,
776,47,CHF,CASH,Malaysian Ringgits per Swiss Franc,,1 CHF,MYR,MYR,,,20040420,,,,,,,
776,48,CHF,CASH,Polish Zlotys per Swiss Franc,,1 CHF,PLN,PLN,,,20040420,,,,,,,
776,49,CHF,CASH,Norwegian Kroners per Swiss Franc,,1 CHF,NOK,NOK,,,20040420,,,,,,,
776,51,CHF,CASH,New Zealand Dollars per Swiss Franc,,1 CHF,NZD,NZD,,,20040420,,,,,,,
776,52,CHF,CASH,Singapore Dollars per Swiss Franc,,1 CHF,SGD,SGD,,,20040420,,,,,,,
776,53,CHF,CASH,Thai Bahts per Swiss Franc,,1 CHF,THB,THB,,,20040420,,,,,,,
776,58,CHF,CASH,Swedish Kronas per Swiss Franc,,1 CHF,SEK,SEK,,,20040420,,,,,,,
985,39,FX1,CASH,Turkish Lira per U.S. Dollar,,1 USD,TRY,TRY,,,20051214,,,,,,,
985,40,FX1,CASH,Chilean Pesos per U.S. Dollar,,1 USD,CLP,CLP,,,20051214,,,,,,,
985,41,FX1,CASH,Philipine Pesos per U.S. Dollar,,1 USD,PHP,PHP,,,20051214,,,,,,,
985,42,FX1,CASH,Columbian Pesos per U.S. Dollar,,1 USD,COP,COP,,,20051214,,,,,,,
985,43,FX1,CASH,Lithuanian Litas per U.S. Dollar,,1 USD,LTL,LTL,,,20051214,,,,,,,
985,44,FX1,CASH,Slovenian Tolars per U.S. Dollar,,1 USD,SIT,SIT,,,20051214,,,,,,,
985,45,FX1,CASH,Estonian Kroons per U.S. Dollar,,1 USD,EEK,EEK,,,20051214,,,,,,,
985,51,FX1,CASH,Cypriot Pounds per Euro,,1 EUR,CYP,CYP,,,20051214,,,,,,,
